Case    |No      |Elem    |    F_A(t)  
    118.|      1.|    138.|       36.33
    118.|      2.|    110.|      -29.22
    118.|      3.|     70.|      -53.94
    118.|      4.|     70.|      -53.94
    118.|      5.|     70.|      -53.94
    118.|      6.|     70.|      -53.94
    119.|      1.|    138.|       35.21
    119.|      2.|    110.|      -28.97
    119.|      3.|     70.|      -54.23
    119.|      4.|     70.|      -54.23
    119.|      5.|     70.|      -54.23
    119.|      6.|     70.|      -54.23
    120.|      1.|    138.|       34.08
    120.|      2.|    110.|      -28.71
    120.|      3.|     70.|      -54.51
    120.|      4.|     70.|      -54.51
    120.|      5.|     70.|      -54.51
    120.|      6.|     70.|      -54.51
    121.|      1.|    138.|       32.95
    121.|      2.|    110.|      -28.44
    121.|      3.|     70.|      -54.76
    121.|      4.|     70.|      -54.76
    121.|      5.|     70.|      -54.76
    121.|      6.|     70.|      -54.76
    122.|      1.|    138.|       31.80
    122.|      2.|    110.|      -28.16
    122.|      3.|     70.|      -55.00
    122.|      4.|     70.|      -55.00
    122.|      5.|     70.|      -55.00
    122.|      6.|     70.|      -55.00
    123.|      1.|    138.|       30.64
    123.|      2.|    110.|      -27.87
    123.|      3.|     70.|      -55.23
    123.|      4.|     70.|      -55.23
    123.|      5.|     70.|      -55.23
    123.|      6.|     70.|      -55.23
    124.|      1.|    138.|       29.47
    124.|      2.|    110.|      -27.58
    124.|      3.|     70.|      -55.43
    124.|      4.|     70.|      -55.43
    124.|      5.|     70.|      -55.43
    124.|      6.|     70.|      -55.43
    125.|      1.|    138.|       28.29
    125.|      2.|    110.|      -27.27
    125.|      3.|     70.|      -55.63
    125.|      4.|     70.|      -55.63
    125.|      5.|     70.|      -55.63
    125.|      6.|     70.|      -55.63
    126.|      1.|    138.|       27.11
    126.|      2.|    110.|      -26.96
    126.|      3.|     70.|      -55.80
    126.|      4.|     70.|      -55.80
    126.|      5.|     70.|      -55.80
    126.|      6.|     70.|      -55.80
    127.|      1.|    138.|       25.91
    127.|      2.|    110.|      -26.64
    127.|      3.|     70.|      -55.95
    127.|      4.|     70.|      -55.95
    127.|      5.|     70.|      -55.95
    127.|      6.|     70.|      -55.95
    128.|      1.|    138.|       24.71
    128.|      2.|    110.|      -26.31
    128.|      3.|     70.|      -56.09
    128.|      4.|     70.|      -56.09
    128.|      5.|     70.|      -56.09
    128.|      6.|     70.|      -56.09
    129.|      1.|    138.|       23.50
    129.|      2.|    110.|      -25.97
    129.|      3.|     70.|      -56.22
    129.|      4.|     70.|      -56.22
    129.|      5.|     70.|      -56.22
    129.|      6.|     70.|      -56.22
    130.|      1.|    138.|       22.28
    130.|      2.|    110.|      -25.63
    130.|      3.|     70.|      -56.32
    130.|      4.|     70.|      -56.32
    130.|      5.|     70.|      -56.32
    130.|      6.|     70.|      -56.32
    131.|      1.|    138.|       21.06
    131.|      2.|    110.|      -25.28
    131.|      3.|     70.|      -56.41
    131.|      4.|     70.|      -56.41
    131.|      5.|     70.|      -56.41
    131.|      6.|     70.|      -56.41
    132.|      1.|    138.|       19.83
    132.|      2.|    110.|      -24.92
    132.|      3.|     70.|      -56.48
