Case    |No      |Node    |    F_X(t)  |    F_Y(t)  |    F_Z(t)  |    M_X(t.m)|    M_Y(t.m)|    M_Z(t.m)
     31.|      2.|    122.|       -6.60|        3.75|        1.65|        0.00|        0.00|        0.00
     31.|      3.|    122.|       -6.60|        3.75|        1.65|        0.00|        0.00|        0.00
     31.|      4.|    122.|       -6.60|        3.75|        1.65|        0.00|        0.00|        0.00
     31.|      5.|    122.|       -6.60|        3.75|        1.65|        0.00|        0.00|        0.00
     31.|      6.|    122.|       -6.60|        3.75|        1.65|        0.00|        0.00|        0.00
     32.|      1.|    249.|      -29.65|       59.11|        1.16|        0.00|        0.00|        0.00
     32.|      2.|    122.|       -7.43|        2.60|        1.65|        0.00|        0.00|        0.00
     32.|      3.|    122.|       -7.43|        2.60|        1.65|        0.00|        0.00|        0.00
     32.|      4.|    122.|       -7.43|        2.60|        1.65|        0.00|        0.00|        0.00
     32.|      5.|    122.|       -7.43|        2.60|        1.65|        0.00|        0.00|        0.00
     32.|      6.|    122.|       -7.43|        2.60|        1.65|        0.00|        0.00|        0.00
     33.|      1.|    249.|      -29.89|       59.60|        1.16|        0.00|        0.00|        0.00
     33.|      2.|    122.|       -8.26|        1.46|        1.65|        0.00|        0.00|        0.00
     33.|      3.|    122.|       -8.26|        1.46|        1.65|        0.00|        0.00|        0.00
     33.|      4.|    122.|       -8.26|        1.46|        1.65|        0.00|        0.00|        0.00
     33.|      5.|    122.|       -8.26|        1.46|        1.65|        0.00|        0.00|        0.00
     33.|      6.|    122.|       -8.26|        1.46|        1.65|        0.00|        0.00|        0.00
     34.|      1.|    249.|      -30.12|       60.07|        1.16|        0.00|        0.00|        0.00
     34.|      2.|    122.|       -9.09|        0.31|        1.65|        0.00|        0.00|        0.00
     34.|      3.|    122.|       -9.09|        0.31|        1.65|        0.00|        0.00|        0.00
     34.|      4.|    122.|       -9.09|        0.31|        1.65|        0.00|        0.00|        0.00
     34.|      5.|    122.|       -9.09|        0.31|        1.65|        0.00|        0.00|        0.00
     34.|      6.|    122.|       -9.09|        0.31|        1.65|        0.00|        0.00|        0.00
     35.|      1.|    249.|      -30.35|       60.52|        1.16|        0.00|        0.00|        0.00
     35.|      2.|    122.|       -9.91|       -0.83|        1.65|        0.00|        0.00|        0.00
     35.|      3.|    122.|       -9.91|       -0.83|        1.65|        0.00|        0.00|        0.00
     35.|      4.|    122.|       -9.91|       -0.83|        1.65|        0.00|        0.00|        0.00
     35.|      5.|    122.|       -9.91|       -0.83|        1.65|        0.00|        0.00|        0.00
     35.|      6.|    122.|       -9.91|       -0.83|        1.65|        0.00|        0.00|        0.00
     36.|      1.|    249.|      -30.56|       60.95|        1.16|        0.00|        0.00|        0.00
     36.|      2.|    122.|      -10.74|       -1.98|        1.65|        0.00|        0.00|        0.00
     36.|      3.|    122.|      -10.74|       -1.98|        1.65|        0.00|        0.00|        0.00
     36.|      4.|    122.|      -10.74|       -1.98|        1.65|        0.00|        0.00|        0.00
     36.|      5.|    122.|      -10.74|       -1.98|        1.65|        0.00|        0.00|        0.00
     36.|      6.|    122.|      -10.74|       -1.98|        1.65|        0.00|        0.00|        0.00
     37.|      1.|    249.|      -30.77|       61.37|        1.16|        0.00|        0.00|        0.00
     37.|      2.|    122.|      -11.55|       -3.12|        1.65|        0.00|        0.00|        0.00
     37.|      3.|    122.|      -11.55|       -3.12|        1.65|        0.00|        0.00|        0.00
     37.|      4.|    122.|      -11.55|       -3.12|        1.65|        0.00|        0.00|        0.00
     37.|      5.|    122.|      -11.55|       -3.12|        1.65|        0.00|        0.00|        0.00
     37.|      6.|    122.|      -11.55|       -3.12|        1.65|        0.00|        0.00|        0.00
     38.|      1.|    249.|      -30.96|       61.76|        1.16|        0.00|        0.00|        0.00
     38.|      2.|    122.|      -12.37|       -4.26|        1.65|        0.00|        0.00|        0.00
     38.|      3.|    122.|      -12.37|       -4.26|        1.65|        0.00|        0.00|        0.00
     38.|      4.|    122.|      -12.37|       -4.26|        1.65|        0.00|        0.00|        0.00
